track_name,artist_names,streams,bpm,music_key,music_mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",86444842,140,F,Minor,0.65,0.87,0.74,0.22,0.0,0.42,0.04
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,52135248,123,F#,Major,0.69,0.82,0.76,0.06,0.0,0.06,0.03
I Wanna Be Yours,Arctic Monkeys,1297026226,135,,Minor,0.48,0.44,0.42,0.12,0.02,0.11,0.03
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",200647221,133,F,Minor,0.85,0.81,0.67,0.26,0.0,0.12,0.05
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",115364561,99,C#,Major,0.85,0.83,0.68,0.07,0.0,0.36,0.2
SABOR FRESA,Fuerza Regida,78300654,130,G,Minor,0.79,0.96,0.86,0.09,0.0,0.09,0.09
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",899183384,107,B,Major,0.8,0.82,0.8,0.43,0.0,0.14,0.04
MOJABI GHOST,"Tainy, Bad Bunny",61245289,122,F#,Minor,0.81,0.74,0.71,0.14,0.0,0.56,0.04
Last Night,Morgan Wallen,429829812,204,F#,Major,0.52,0.52,0.68,0.46,0.0,0.15,0.04
Dance The Night (From Barbie The Album),Dua Lipa,127408954,110,B,Minor,0.67,0.78,0.85,0.02,0.0,0.33,0.05
Rush,Troye Sivan,22581161,126,F,Minor,0.74,0.35,0.84,0.0,0.0,0.11,0.06
TULUM,"Peso Pluma, Grupo Frontera",52294266,168,F#,Major,0.56,0.63,0.87,0.39,0.0,0.11,0.05
Creepin',"The Weeknd, 21 Savage, Metro Boomin",843957510,98,C#,Minor,0.71,0.17,0.61,0.36,0.0,0.08,0.05
Anti-Hero,Taylor Swift,999748277,97,E,Major,0.64,0.51,0.63,0.12,0.0,0.19,0.05
TQG,"Karol G, Shakira",618990393,180,E,Minor,0.72,0.61,0.63,0.67,0.0,0.09,0.28
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",123122413,120,,Major,0.81,0.63,0.68,0.11,0.0,0.11,0.04
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",188933502,150,F#,Major,0.61,0.39,0.73,0.37,0.0,0.11,0.03
Blank Space,Taylor Swift,1355959075,96,F,Major,0.75,0.57,0.68,0.09,0.0,0.13,0.06
Style,Taylor Swift,786181836,95,D,Major,0.6,0.48,0.79,0.0,0.0,0.12,0.04
TQM,Fuerza Regida,176553476,125,F,Minor,0.79,0.96,0.85,0.27,0.0,0.11,0.06
El Azul,"Junior H, Peso Pluma",354495408,144,A,Minor,0.56,0.84,0.65,0.23,0.0,0.1,0.06
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2808096550,90,D,Major,0.76,0.91,0.5,0.54,0.0,0.07,0.05
I'm Good (Blue),"Bebe Rexha, David Guetta",1109433169,128,G,Minor,0.56,0.38,0.97,0.04,0.0,0.35,0.04
See You Again,"Tyler, The Creator, Kali Uchis",1047101291,79,F#,Major,0.56,0.58,0.56,0.37,0.0,0.11,0.1
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",65156199,144,,Major,0.77,0.75,0.58,0.52,0.0,0.23,0.25
Angels Like You,Miley Cyrus,570515054,122,F,Major,0.67,0.49,0.64,0.1,0.0,0.1,0.03
I Ain't Worried,OneRepublic,1085685420,140,,Major,0.71,0.82,0.81,0.11,0.0,0.06,0.05
Die For You,The Weeknd,1647990401,134,C#,Minor,0.59,0.51,0.52,0.09,0.0,0.15,0.07
Starboy,"The Weeknd, Daft Punk",2565529693,186,G,Major,0.68,0.49,0.59,0.16,0.0,0.13,0.28
Die For You - Remix,"Ariana Grande, The Weeknd",518745108,67,C#,Minor,0.53,0.5,0.53,0.23,0.0,0.44,0.07
El Cielo,"Feid, Myke Towers, Sky Rompiendo",107753850,106,A#,Minor,0.72,0.17,0.64,0.07,0.0,0.1,0.05
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",177740666,128,G,Major,0.6,0.23,0.91,0.0,0.0,0.12,0.03
AMARGURA,Karol G,153372011,107,F#,Minor,0.92,0.55,0.7,0.18,0.0,0.15,0.07
(It Goes Like) Nanana - Edit,Peggy Gou,57876440,130,G,Minor,0.67,0.96,0.88,0.12,0.19,0.08,0.04
Another Love,Tom Odell,1813673666,123,E,Minor,0.45,0.13,0.54,0.7,0.0,0.09,0.04
Blinding Lights,The Weeknd,3703895074,171,C#,Major,0.5,0.38,0.8,0.0,0.0,0.09,0.07
Moonlight,Kali Uchis,256483385,137,G,Minor,0.64,0.88,0.72,0.51,0.0,0.17,0.05
La Bachata,Manuel Turizo,1214083358,125,G,Minor,0.84,0.85,0.68,0.58,0.0,0.22,0.04
S91,Karol G,16011326,128,,Minor,0.86,0.42,0.72,0.59,0.0,0.09,0.19
cardigan,Taylor Swift,812019557,130,,Minor,0.61,0.53,0.58,0.55,0.0,0.27,0.04
Tï¿½ï¿,"dennis, MC Kevin o Chris",111947664,130,B,Major,0.86,0.59,0.96,0.5,0.01,0.09,0.05
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",156338624,133,F,Major,0.7,0.86,0.81,0.25,0.0,0.25,0.05
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",720434240,101,D,Major,0.88,0.72,0.59,0.62,0.0,0.09,0.03
BESO,"Rauw Alejandro, ROSALï¿½",357925728,95,F,Minor,0.77,0.53,0.64,0.74,0.0,0.17,0.14
Hey Mor,"Ozuna, Feid",674072710,98,C#,Minor,0.9,0.4,0.59,0.0,0.0,0.1,0.29
Yellow,Chris Molitor,1755214421,173,B,Major,0.43,0.28,0.66,0.0,0.0,0.23,0.03
Karma,Taylor Swift,404562836,90,G#,Major,0.64,0.1,0.62,0.07,0.0,0.48,0.07
People,Libianca,373199958,198,A#,Minor,0.59,0.71,0.42,0.55,0.0,0.1,0.07
Overdrive,Post Malone,14780425,140,C#,Major,0.56,0.48,0.73,0.0,0.0,0.35,0.04
Enchanted (Taylor's Version),Taylor Swift,39578178,82,G#,Major,0.51,0.22,0.53,0.01,0.0,0.15,0.03
BABY HELLO,"Rauw Alejandro, Bizarrap",54266102,130,C#,Minor,0.77,0.84,0.89,0.17,0.0,0.43,0.05
Heat Waves,Glass Animals,2557975762,81,B,Major,0.76,0.53,0.53,0.44,0.0,0.09,0.09
golden hour,JVKE,751134527,94,C#,Minor,0.51,0.14,0.59,0.65,0.18,0.25,0.03
Sweater Weather,The Neighbourhood,2282771485,124,A#,Major,0.61,0.41,0.81,0.05,0.02,0.1,0.03
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1356565093,128,D,Major,0.62,0.55,0.78,0.01,0.03,0.23,0.04
Viva La Vida,Coldplay,1592909789,138,F,Minor,0.49,0.42,0.62,0.09,0.0,0.11,0.03
Here With Me,d4vd,635412045,132,E,Major,0.58,0.27,0.48,0.5,0.0,0.12,0.03
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1230675890,131,D,Major,0.71,0.24,0.47,0.01,0.0,0.27,0.09
Yandel 150,"Yandel, Feid",585695368,168,F#,Minor,0.78,0.58,0.73,0.05,0.0,0.1,0.07
CORAZï¿½ï¿½N VA,Maria Becerra,43857627,98,C#,Major,0.68,0.4,0.79,0.33,0.0,0.3,0.06
Riptide,Vance Joy,2009094673,102,C#,Major,0.48,0.5,0.73,0.43,0.0,0.15,0.04
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",600976848,101,A#,Major,0.34,0.32,0.57,0.78,0.0,0.2,0.03
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",39709092,130,F,Major,0.63,0.36,0.34,0.76,0.0,0.35,0.09
Back To December (Taylor's Version),Taylor Swift,39228929,142,D,Major,0.5,0.2,0.64,0.01,0.0,0.12,0.03
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2665343922,170,C#,Major,0.59,0.48,0.76,0.04,0.0,0.1,0.05
El Merengue,"Marshmello, Manuel Turizo",223633238,124,G#,Minor,0.78,0.7,0.68,0.03,0.01,0.11,0.04
Someone You Loved,Lewis Capaldi,2887241814,110,C#,Major,0.5,0.45,0.41,0.75,0.0,0.11,0.03
Me Porto Bonito,"Chencho Corleone, Bad Bunny",1440757818,92,C#,Minor,0.91,0.43,0.71,0.09,0.0,0.09,0.08
Makeba,Jain,165484133,116,D,Major,0.82,0.4,0.66,0.39,0.51,0.25,0.07
MONTAGEM - FR PUNK,"Ayparia, unxbected",58054811,129,A,Major,0.63,0.84,0.82,0.7,0.08,0.09,0.07
Fast Car,Luke Combs,157058870,98,G#,Major,0.71,0.67,0.6,0.19,0.0,0.12,0.03
What It Is (Solo Version),Doechii,95131998,172,C#,Minor,0.74,0.76,0.76,0.06,0.0,0.1,0.09
Coco Chanel,"Bad Bunny, Eladio Carrion",250305248,150,D,Major,0.68,0.14,0.76,0.04,0.0,0.1,0.04
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,685032533,136,A,Minor,0.62,0.19,0.53,0.11,0.0,0.06,0.04
Still With You,Jung Kook,38411956,88,C#,Minor,0.53,0.34,0.47,0.09,0.0,0.83,0.04
All My Life (feat. J. Cole),"J. Cole, Lil Durk",144565150,143,D#,Major,0.83,0.69,0.44,0.15,0.0,0.1,0.33
Say Yes To Heaven,Lana Del Rey,127567540,100,F#,Minor,0.49,0.17,0.35,0.71,0.09,0.11,0.03
Snooze,SZA,399686758,143,F,Major,0.56,0.39,0.55,0.14,0.0,0.11,0.13
Summertime Sadness,Lana Del Rey,983637508,112,C#,Minor,0.56,0.24,0.66,0.07,0.0,0.12,0.03
Take Two,BTS,118482347,93,G,Major,0.62,0.57,0.59,0.03,0.0,0.38,0.03
Lover,Taylor Swift,882831184,206,G,Major,0.43,0.5,0.55,0.5,0.0,0.15,0.1
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",286400165,88,G,Minor,0.68,0.17,0.71,0.15,0.0,0.11,0.05
Chemical,Post Malone,172825906,170,D,Major,0.5,0.37,0.9,0.0,0.0,0.12,0.05
Mockingbird,Eminem,1241559043,84,E,Minor,0.62,0.24,0.67,0.21,0.0,0.13,0.28
New Jeans,NewJeans,29562220,134,E,Minor,0.81,0.53,0.72,0.51,0.0,0.12,0.05
Primera Cita,Carin Leon,77309611,158,A#,Major,0.54,0.5,0.4,0.61,0.0,0.1,0.06
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",1605224506,116,C#,Major,0.8,0.92,0.8,0.04,0.0,0.1,0.03
Dandelions,Ruth B.,1116995633,117,C#,Major,0.61,0.45,0.69,0.02,0.0,0.09,0.03
Bones,Imagine Dragons,838079900,114,F,Minor,0.77,0.65,0.72,0.02,0.0,0.07,0.05
Set Fire to the Rain,Adele,1163620694,108,D,Minor,0.61,0.47,0.68,0.0,0.0,0.13,0.03
Money Trees,"Kendrick Lamar, Jay Rock",1093605526,144,E,Minor,0.74,0.37,0.53,0.07,0.0,0.21,0.1
Tak Segampang Itu,Anggi Marito,179659294,130,F,Major,0.51,0.18,0.44,0.76,0.0,0.11,0.03
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",39058561,116,B,Major,0.77,0.79,0.62,0.33,0.01,0.15,0.03
Mine (Taylor's Version),Taylor Swift,36912123,121,G,Major,0.65,0.49,0.78,0.0,0.0,0.17,0.04
Everybody Wants To Rule The World,Tears For Fears,1205951614,112,G,Major,0.64,0.54,0.81,0.36,0.0,0.11,0.06
No Role Modelz,J. Cole,1791000570,100,A#,Minor,0.7,0.47,0.52,0.3,0.0,0.06,0.33
Tattoo,Loreen,201660859,150,D#,Minor,0.55,0.3,0.78,0.24,0.0,0.12,0.08
Rara Vez,"Taiu, Milo j",248088961,120,F,Minor,0.84,0.96,0.71,0.18,0.0,0.34,0.17
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",90839753,127,B,Minor,0.82,0.89,0.85,0.04,0.0,0.23,0.06
august,Taylor Swift,607123776,90,F,Major,0.51,0.42,0.61,0.53,0.0,0.09,0.03
LUNA,"Junior H, Peso Pluma",55842345,128,A,Minor,0.75,0.79,0.63,0.33,0.0,0.15,0.04
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",211050784,143,A,Major,0.64,0.31,0.87,0.04,0.04,0.08,0.04
Nonsense,Sabrina Carpenter,342897938,139,G#,Major,0.74,0.68,0.68,0.03,0.0,0.26,0.04
Que Vuelvas,"Carin Leon, Grupo Frontera",2762,162,A#,Major,0.49,0.78,0.64,0.19,0.0,0.11,0.04
Por las Noches,Peso Pluma,330346424,92,,Major,0.81,0.39,0.6,0.31,0.0,0.07,0.03
Feliz Cumpleaï¿½ï¿½os Fe,Feid,601863821,95,F,Major,0.87,0.57,0.55,0.1,0.0,0.29,0.07
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",1953533826,146,D,Major,0.63,0.88,0.93,0.03,0.0,0.1,0.08
Watermelon Sugar,Harry Styles,2322580122,95,,Major,0.55,0.56,0.82,0.12,0.0,0.34,0.05
lovely - Bonus Track,"Billie Eilish, Khalid",2355719893,115,E,Minor,0.35,0.12,0.3,0.93,0.0,0.1,0.03
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",66902503,128,B,Major,0.78,0.59,0.65,0.1,0.0,0.26,0.05
Queencard,(G)I-DLE,96273746,130,E,Minor,0.82,0.69,0.83,0.03,0.0,0.27,0.05
OMG,NewJeans,430977451,127,A,Minor,0.8,0.74,0.77,0.36,0.0,0.11,0.04
Radio,Lana Del Rey,284819874,150,D,Major,0.42,0.2,0.86,0.21,0.0,0.09,0.09
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",721975598,122,D,Minor,0.78,0.5,0.63,0.27,0.0,0.09,0.05
505,Arctic Monkeys,1217120710,140,,Major,0.52,0.2,0.85,0.0,0.0,0.07,0.05
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",109276132,140,,Major,0.63,0.22,0.54,0.46,0.0,0.12,0.08
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",276259178,119,C#,Minor,0.75,0.48,0.53,0.18,0.0,0.18,0.34
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",54225632,110,G,Minor,0.76,0.96,0.72,0.32,0.0,0.09,0.04
Perfect,Ed Sheeran,2559529074,95,G#,Major,0.6,0.17,0.45,0.16,0.0,0.11,0.02
Romantic Homicide,d4vd,681583126,132,F#,Major,0.56,0.2,0.55,0.45,0.01,0.32,0.03
Believer,Imagine Dragons,2594040133,125,A#,Minor,0.77,0.74,0.78,0.04,0.0,0.23,0.11
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",81102253,124,D#,Minor,0.84,0.65,0.5,0.67,0.0,0.13,0.06
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",11956641,133,B,Minor,0.93,0.68,0.65,0.42,0.0,0.12,0.25
Without Me,Eminem,1687664027,112,G,Major,0.92,0.67,0.66,0.0,0.0,0.36,0.09
QUEMA,"Sog, Ryan Castro, Peso Pluma",11599388,97,,Major,0.79,0.92,0.89,0.05,0.0,0.06,0.05
Stargirl Interlude,"The Weeknd, Lana Del Rey",611700552,90,F,Minor,0.59,0.52,0.48,0.38,0.05,0.1,0.11
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",1133865788,80,D#,Minor,0.65,0.27,0.69,0.08,0.0,0.53,0.04
Somewhere Only We Know,Keane,1089402494,172,A,Major,0.45,0.33,0.59,0.06,0.0,0.08,0.03
Those Eyes,New West,411747614,120,E,Major,0.6,0.24,0.35,0.73,0.0,0.31,0.03
El Gordo Trae El Mando,Chino Pacas,255932395,140,G,Minor,0.74,0.96,0.8,0.18,0.0,0.05,0.05
Mi Bello Angel,Natanael Cano,31873544,128,A,Minor,0.81,0.9,0.77,0.01,0.0,0.09,0.05
Bye,Peso Pluma,95053634,122,,Major,0.78,0.7,0.81,0.57,0.0,0.1,0.05
Danza Kuduro,"Don Omar, Lucenzo",1279434863,130,,Major,0.47,0.86,0.92,0.08,0.0,0.05,0.24
Nosso Quadro,"Ana Castela, AgroPlay",233801632,160,A,Major,0.69,0.61,0.71,0.33,0.0,0.31,0.2
Locked Out Of Heaven,Bruno Mars,1481349984,144,F,Major,0.73,0.87,0.7,0.06,0.0,0.28,0.05
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",142095275,192,B,Major,0.5,0.85,0.52,0.11,0.0,0.28,0.06
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",618885532,163,,Major,0.54,0.4,0.67,0.0,0.0,0.09,0.17
Counting Stars,OneRepublic,2011464183,122,C#,Minor,0.66,0.48,0.71,0.06,0.0,0.12,0.04
Ghost,Justin Bieber,1167330737,154,D,Major,0.61,0.41,0.74,0.21,0.0,0.4,0.06
Under The Influence,Chris Brown,929964809,117,A,Minor,0.73,0.31,0.69,0.06,0.0,0.11,0.04
PRC,"Natanael Cano, Peso Pluma",436027885,138,G,Minor,0.78,0.89,0.83,0.1,0.0,0.12,0.05
Gasolina,Daddy Yankee,657723613,96,,Major,0.86,0.74,0.8,0.33,0.0,0.08,0.06
One Dance,"Drake, WizKid, Kyla",2713922350,104,C#,Major,0.77,0.36,0.63,0.01,0.0,0.36,0.05
Enchanted,Taylor Swift,621660989,164,G#,Major,0.45,0.24,0.62,0.08,0.0,0.16,0.03
Save Your Tears,The Weeknd,1591223784,118,,Major,0.68,0.61,0.82,0.02,0.0,0.5,0.03
Sure Thing,Miguel,950906471,81,B,Minor,0.68,0.51,0.6,0.03,0.0,0.19,0.1
Every Breath You Take - Remastered 2003,The Police,1593270737,117,C#,Major,0.82,0.73,0.45,0.54,0.0,0.07,0.03
The Night We Met,Lord Huron,1410088830,174,D,Major,0.45,0.1,0.37,0.97,0.25,0.64,0.04
We Found Love,"Rihanna, Calvin Harris",1235005533,128,C#,Major,0.73,0.6,0.77,0.03,0.0,0.11,0.04
When I Was Your Man,Bruno Mars,1661187319,145,,Major,0.6,0.43,0.27,0.94,0.0,0.14,0.04
Let Me Down Slowly,Alec Benjamin,1374581173,150,C#,Minor,0.65,0.51,0.55,0.73,0.0,0.14,0.03
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",94186466,90,A,Minor,0.6,0.13,0.53,0.04,0.0,0.21,0.04
Do I Wanna Know?,Arctic Monkeys,1788326445,85,F,Major,0.55,0.42,0.53,0.17,0.0,0.22,0.03
Demons,Imagine Dragons,1840364617,180,D#,Major,0.33,0.38,0.71,0.2,0.0,0.28,0.05
ýýýýýýýýýýýý,YOASOBI,143573775,166,C#,Major,0.57,0.84,0.94,0.11,0.0,0.37,0.09
Reminder,The Weeknd,684675814,160,G#,Major,0.71,0.4,0.5,0.16,0.0,0.16,0.22
Shake It Off,Taylor Swift,1113838873,160,G,Major,0.65,0.95,0.8,0.05,0.0,0.41,0.16
Why'd You Only Call Me When You're High?,Arctic Monkeys,1267333350,92,D,Major,0.7,0.81,0.63,0.04,0.0,0.08,0.04
SNAP,Rosa Linn,726307468,170,,Major,0.56,0.53,0.64,0.11,0.0,0.45,0.06
Shape of You,Ed Sheeran,3562543890,96,C#,Minor,0.83,0.93,0.65,0.58,0.0,0.09,0.08
Night Changes,One Direction,1131090940,120,G#,Major,0.67,0.4,0.52,0.86,0.0,0.12,0.04
Fin de Semana,"Oscar Maydon, Junior H",307370144,98,,Major,0.7,0.37,0.54,0.06,0.0,0.09,0.08
Creep,Radiohead,1271293243,92,G,Major,0.53,0.12,0.34,0.01,0.0,0.12,0.04
Car's Outside,James Arthur,265882712,150,A,Major,0.34,0.24,0.56,0.04,0.0,0.11,0.03
Apocalypse,Cigarettes After Sex,841749534,94,F,Major,0.37,0.17,0.47,0.02,0.46,0.11,0.03
Cheques,Shubh,47956378,90,E,Minor,0.74,0.36,0.63,0.26,0.0,0.27,0.05
Pink + White,Frank Ocean,806397070,160,A,Major,0.54,0.54,0.55,0.67,0.0,0.42,0.11
Circles,Post Malone,2132335812,120,,Major,0.7,0.59,0.75,0.24,0.0,0.09,0.04
Just The Way You Are,Bruno Mars,1641426668,109,F,Major,0.63,0.46,0.85,0.01,0.0,0.09,0.05
Take Me To Church,Hozier,2135158446,129,E,Minor,0.57,0.41,0.66,0.63,0.0,0.12,0.05
Bebe Dame,"Fuerza Regida, Grupo Frontera",367316268,157,G,Major,0.54,0.75,0.6,0.3,0.0,0.07,0.05
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,350381515,130,F#,Major,0.63,0.49,0.73,0.05,0.0,0.09,0.03
Titi Me Preguntï¿,Bad Bunny,1264310836,107,F,Minor,0.65,0.19,0.72,0.1,0.0,0.13,0.25
Better Than Revenge (Taylor's Version),Taylor Swift,30343206,146,B,Minor,0.5,0.67,0.89,0.0,0.0,0.19,0.08
Shut up My Moms Calling,Hotel Ugly,405136812,139,A,Minor,0.48,0.37,0.41,0.32,0.0,0.1,0.1
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1145727611,116,,Major,0.74,0.76,0.7,0.07,0.0,0.13,0.03
Es un Secreto,Plan B,540654286,95,F#,Minor,0.84,0.52,0.77,0.12,0.0,0.07,0.04
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",57312735,170,G#,Minor,0.62,0.55,0.8,0.15,0.0,0.37,0.07
Ditto,NewJeans,397582059,134,F#,Minor,0.81,0.18,0.64,0.03,0.0,0.1,0.11
Take On Me,a-ha,1479115056,84,F#,Minor,0.57,0.86,0.9,0.02,0.0,0.09,0.05
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",86773632,146,B,Minor,0.61,0.2,0.48,0.21,0.0,0.12,0.06
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",133753727,74,A#,Minor,0.53,0.24,0.67,0.11,0.0,0.1,0.28
Acrï¿½ï¿½s,Shakira,123124076,144,B,Major,0.75,0.35,0.48,0.84,0.0,0.1,0.12
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",463564958,136,B,Minor,0.77,0.79,0.73,0.15,0.0,0.27,0.1
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",64533040,100,E,Major,0.56,0.53,0.55,0.53,0.0,0.12,0.04
S-Class,Stray Kids,65496046,105,F,Minor,0.89,0.67,0.78,0.09,0.0,0.07,0.33
Hits Different,Taylor Swift,68616963,106,F,Major,0.67,0.24,0.78,0.15,0.0,0.3,0.04
Chanel,"Becky G, Peso Pluma",161460990,132,D,Major,0.85,0.53,0.68,0.4,0.0,0.09,0.04
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",70106975,120,A,Major,0.78,0.05,0.3,0.21,0.0,0.13,0.05
Area Codes,"Kaliii, Kaliii",113509496,155,C#,Major,0.82,0.51,0.39,0.02,0.0,0.09,0.49
Abcdario,"Junior H, Eden Muï¿½ï",89933133,129,G#,Major,0.7,0.42,0.43,0.78,0.0,0.11,0.03
Obsessed,"Abhijay Sharma, Riar Saab",71007139,135,F,Minor,0.8,0.85,0.74,0.62,0.0,0.08,0.09
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",43522589,98,A#,Minor,0.73,0.45,0.62,0.28,0.0,0.13,0.13
FLOWER,JISOO,232896922,124,A,Minor,0.84,0.64,0.39,0.03,0.0,0.11,0.04
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",37126685,135,A,Minor,0.77,0.28,0.55,0.18,0.0,0.22,0.15
Eyes Closed,Ed Sheeran,195576623,107,D,Major,0.78,0.39,0.53,0.3,0.0,0.11,0.06
Escapism.,"RAYE, 070 Shake",532336353,96,D,Major,0.54,0.25,0.74,0.14,0.0,0.09,0.11
La Jumpa,"Arcangel, Bad Bunny",538115192,123,G#,Major,0.71,0.58,0.7,0.3,0.0,0.32,0.19
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",46142772,90,G#,Major,0.62,0.07,0.62,0.06,0.0,0.58,0.06
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",401036314,117,F,Minor,0.72,0.45,0.59,0.14,0.0,0.2,0.21
Las Morras,"BLESSD, Peso Pluma",127026613,133,A,Minor,0.78,0.9,0.84,0.31,0.0,0.07,0.04
