uri,track_name,artist_names,peak_rank,weeks_on_chart,danceability,energy,music_key,loudness,music_mode,speechiness,acousticness,tempo
spotify:track:59CfNbkERJ3NoTXDvoURjj,boyfriend,dove cameron,11,6,0.345,0.612,G,-6.543,Minor,0.0608,0.232,179.773
spotify:track:3rmo8F54jFF8OgYsqTxm5d,bad habits,ed sheeran,3,39,0.807,0.893,B,-3.745,Minor,0.0347,0.0451,126.011
spotify:track:1SOClUWhOi8vHZYMz3GluK,infinity,jaymes young,11,21,0.671,0.673,B,-6.941,Minor,0.0444,0.148,121.963
spotify:track:2B4GHvToeLTOBB4QLzW3Ni,pepas,farruko,4,37,0.762,0.766,G,-3.955,Major,0.0343,0.00776,130.001
spotify:track:18asYwWugKjjsihZ0YvRxO,the motto,"tiësto, ava max",23,20,0.754,0.763,G,-4.627,Minor,0.0435,0.0301,117.953
spotify:track:4ZtFanR9U6ndgddUvNcjcG,good 4 u,olivia rodrigo,1,45,0.563,0.664,A,-5.044,Major,0.154,0.335,166.928
spotify:track:46HNZY1i7O6jwTA7Slo2PI,my universe,"coldplay, bts",3,26,0.573,0.711,C#,-6.268,Minor,0.0406,0.0114,105.006
spotify:track:4SqWKzw0CbA05TGszDgMlc,i love you so,the walters,21,24,0.575,0.648,A#,-4.891,Major,0.0358,0.583,75.977
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,blinding lights,the weeknd,1,121,0.514,0.73,C#,-5.934,Major,0.0598,0.00146,171.005
spotify:track:4gzsuuZypVbxs0Af1LSZyB,lo siento bb:/ (with bad bunny & julieta venegas),"tainy, bad bunny, julieta venegas",12,25,0.639,0.703,E,-6.33,Minor,0.0794,0.0889,169.888
spotify:track:7mFj0LlWtEJaEigguaWqYh,sweetest pie,"megan thee stallion, dua lipa",17,2,0.814,0.628,G,-7.178,Major,0.221,0.167,123.977
spotify:track:2WL6GQzPuK9Nrpy9XwNEbz,something in the way,nirvana,19,3,0.426,0.225,G#,-12.422,Major,0.0291,0.823,104.506
spotify:track:7jtQIBanIiJOMS6RyCx6jZ,another love,tom odell,31,50,0.442,0.538,E,-8.55,Minor,0.0451,0.717,122.758
spotify:track:20on25jryn53hWghthWWW3,do it to it,"acraze, cherish",9,21,0.854,0.806,B,-8.262,Minor,0.0886,0.0209,124.927
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,sweater weather,the neighbourhood,29,82,0.612,0.807,A#,-2.81,Major,0.0336,0.0495,124.053
spotify:track:2JPLbjOn0wPCngEot2STUS,yonaguni,bad bunny,3,42,0.644,0.648,C#,-4.601,Major,0.118,0.276,179.951
spotify:track:3Vi5XqYrmQgOYBajMWSvCi,need to know,doja cat,6,41,0.664,0.609,C#,-6.509,Major,0.0707,0.304,130.041
spotify:track:2eAvDnpXP5W0cVtiI0PUxV,dandelions,ruth b.,35,32,0.609,0.692,C#,-2.958,Major,0.0259,0.0157,116.959
spotify:track:52xJxFP6TqMuO4Yt0eOkMz,we don't talk about bruno,"carolina gaitán - la gaita, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz, encanto - cast",8,13,0.577,0.45,C,-8.516,Minor,0.0834,0.357,205.863
spotify:track:3DarAbFujv6eYNliUTyqtz,kiss me more (feat. sza),"doja cat, sza",3,50,0.764,0.705,G#,-3.463,Major,0.0284,0.259,110.97
spotify:track:7BDHDiidJ8WV349p3HTxTV,maniac,stray kids,39,1,0.744,0.8,C#,-2.63,Major,0.266,0.181,89.925
spotify:track:3AVXwaOGCEL8cmBecfcsFJ,light switch,charlie puth,19,9,0.69,0.626,F#,-5.693,Major,0.306,0.105,184.009
spotify:track:5nujrmhLynf4yMoMtj8AQF,levitating (feat. dababy),"dua lipa, dababy",4,77,0.702,0.825,F#,-3.787,Minor,0.0601,0.00883,102.977
spotify:track:5CZ40GBx1sQ9agT82CLQCT,traitor,olivia rodrigo,7,44,0.38,0.339,D#,-7.885,Major,0.0338,0.691,100.607
spotify:track:1oFAF1hdPOickyHgbuRjyX,save your tears (remix) (with ariana grande) - bonus track,"the weeknd, ariana grande",5,48,0.65,0.825,C,-4.645,Major,0.0325,0.0215,118.091
spotify:track:70AYiGbc4mWZGEqiipBBDb,candy,rosalía,44,1,0.638,0.49,E,-5.726,Minor,0.226,0.885,179.905
spotify:track:531KGXtBroSrOX9LVmiIgc,starlight,dave,45,3,0.954,0.367,E,-9.551,Minor,0.288,0.341,124.026
spotify:track:2K7xn816oNHJZ0aVqdQsha,softcore,the neighbourhood,35,11,0.575,0.568,A,-5.509,Minor,0.03,0.0484,93.986
spotify:track:1SC5rEoYDGUK4NfG82494W,montero (call me by your name),lil nas x,1,52,0.593,0.503,G#,-6.725,Minor,0.22,0.293,178.781
spotify:track:5zNxUkUW9WiV5oyg6gh2wB,dançarina,"pedro sampaio, mc pedrinho",32,5,0.778,0.571,A,-4.776,Minor,0.0788,0.0423,134.999
spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,without me,eminem,31,26,0.908,0.669,G,-2.827,Major,0.0738,0.00286,112.238
spotify:track:6lX6l7OuA3qrnIRfdsr0dw,medallo,"blessd, justin quiles, lenny tavárez",48,18,0.787,0.7,E,-4.598,Minor,0.0768,0.568,90.02
spotify:track:1mWdTewIgB3gtBM3TOSFhB,butter,bts,2,44,0.759,0.459,G#,-5.187,Major,0.0948,0.00323,109.997
spotify:track:1ZdhOMWyFR8Iv9eylMGYg2,mount everest,labrinth,36,7,0.494,0.428,C,-7.239,Minor,0.205,0.236,87.724
spotify:track:2rDZhKnPaPG054ExZ6nXUS,jordan,ryan castro,53,4,0.796,0.68,A#,-5.555,Minor,0.37,0.0575,179.923
spotify:track:5QO79kh1waicV47BqGRL3g,save your tears,the weeknd,2,68,0.68,0.826,C,-5.487,Major,0.0309,0.0212,118.051
spotify:track:5wANPM4fQCJwkGd4rN57mH,drivers license,olivia rodrigo,1,63,0.561,0.431,A#,-8.81,Major,0.0578,0.768,143.875
spotify:track:6Y46tOTRhkBamosyuWa6YX,la fama (with the weeknd),"rosalía, the weeknd",32,15,0.766,0.295,C,-7.893,Minor,0.0464,0.947,136.016
spotify:track:58ge6dfP91o9oXMzq3XkIS,505,arctic monkeys,57,12,0.52,0.852,C,-5.866,Major,0.0543,0.00237,140.267
spotify:track:0Bv7O6fmZk3GrNQFYJaXPn,"cayó la noche (feat. cruz cafuné, abhir hathi, bejo, el ima) [remix]","la pantera, quevedo, juseph, abhir hathi, bejo, cruz cafuné, el ima",58,8,0.672,0.745,F,-5.269,Minor,0.3,0.438,173.974
spotify:track:4MzXwWMhyBbmu6hOcLVD49,dákiti,"bad bunny, jhay cortez",1,73,0.731,0.573,E,-10.059,Minor,0.0544,0.401,109.928
spotify:track:6ylDpki1VpIsc525KC1ojF,tacones rojos,sebastian yatra,45,18,0.746,0.844,B,-3.499,Minor,0.0359,0.062,123.014
spotify:track:3uwnnTQcHM1rDqSfA4gQNz,cool for the summer,demi lovato,61,1,0.583,0.61,F,-5.639,Minor,0.0382,0.00425,114.06
spotify:track:5TMLavqGRKNxgzMBrVpC9R,mon amour - remix,"zzoilo, aitana",34,29,0.748,0.761,D,-6.621,Major,0.102,0.122,116.041
spotify:track:0HqZX76SFLDz2aW8aiqi7G,bones,imagine dragons,63,2,0.773,0.742,F,-3.678,Minor,0.046,0.0206,114.071
spotify:track:5gflgO9EPbIBf16n5TKnQS,yo voy (feat. daddy yankee),zion & lennox,63,5,0.808,0.697,A#,-5.899,Major,0.241,0.041,95.06
spotify:track:72jYQj3RgTR1DFLfibD71B,arasan da,uzi,65,1,0.742,0.832,A#,-6.812,Major,0.156,0.425,105.978
spotify:track:4RVwu0g32PAqgUiJoXsdF8,happier than ever,billie eilish,6,34,0.332,0.225,C,-8.697,Major,0.0348,0.767,81.055
spotify:track:0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,tate mcrae,38,7,0.614,0.644,D,-5.372,Minor,0.0426,0.0134,160.036
spotify:track:3XOalgusokruzA5ZBA2Qcb,pushin p (feat. young thug),"gunna, future, young thug",14,11,0.773,0.422,C#,-4.572,Minor,0.187,0.00783,77.502
spotify:track:3Wrjm47oTz2sjIgck11l5e,beggin',måneskin,1,42,0.714,0.8,B,-4.808,Minor,0.0504,0.127,134.002
spotify:track:2gQPv5jvVPqU2a9HhMNO1v,toxic,boywithuke,23,23,0.594,0.612,G#,-6.627,Minor,0.363,0.835,179.629
spotify:track:2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),ckay,9,28,0.727,0.739,G#,-3.805,Major,0.0411,0.365,93.005
spotify:track:1Al4Z4K76RCKj31mExavs7,maybe (feat. bring me the horizon),"machine gun kelly, bring me the horizon",72,1,0.522,0.922,F,-4.805,Minor,0.0616,0.000745,176.105
spotify:track:6UelLqGlWMcVH1E5c4H7lY,watermelon sugar,harry styles,4,123,0.548,0.816,C,-4.209,Major,0.0465,0.122,95.39
spotify:track:6Jrdb6CFOJEGaHjaa6c4WR,idgaf (with blackbear),"boywithuke, blackbear",74,1,0.783,0.75,F,-5.762,Major,0.078,0.426,97.953
spotify:track:74WROFXsox6wkeUrEK2DS6,chale,eden muñoz,75,3,0.551,0.436,G#,-8.029,Major,0.0428,0.395,188.651
spotify:track:3GZD6HmiNUhxXYf8Gch723,lost,frank ocean,50,10,0.913,0.603,G#,-4.892,Major,0.226,0.0272,123.061
spotify:track:3i6sCTU7ENlnHpHvrHUitW,sometimes,juice wrld,77,1,0.674,0.58,G#,-4.866,Major,0.0311,0.0609,121.987
spotify:track:2hHeGD57S0BcopfVcmehdl,hati-hati di jalan,tulus,45,3,0.643,0.436,F#,-11.322,Major,0.0357,0.702,71.969
spotify:track:3o9kpgkIcffx0iSwxhuNI2,numb little bug,em beihold,69,8,0.742,0.527,G#,-6.892,Minor,0.0769,0.327,84.974
spotify:track:3yfqSUWxFvZELEM4PmlwIR,the real slim shady,eminem,51,42,0.949,0.661,F,-4.244,Minor,0.0572,0.0302,104.504
spotify:track:4r9jkMEnArtWGH2rL2FZl0,a tu merced,bad bunny,52,19,0.86,0.791,C,-4.784,Major,0.0568,0.169,92.023
spotify:track:2FYGZDfsAnNsrm1gVbyKnG,saoko,rosalía,80,2,0.827,0.768,C,-5.702,Major,0.265,0.79,99.988
spotify:track:2vmfvSoZBFAt9hhRoEByLi,volví,"aventura, bad bunny",10,34,0.725,0.86,C#,-3.726,Major,0.182,0.422,175.896
spotify:track:00Blm7zeNqgYLPtW6zg8cj,one right now (with the weeknd),"post malone, the weeknd",9,20,0.687,0.781,C#,-4.806,Major,0.053,0.0361,97.014
spotify:track:3PfIrDoz19wz7qK7tYeu62,don't start now,dua lipa,2,125,0.793,0.793,B,-4.521,Minor,0.083,0.0123,123.95
spotify:track:6HU7h9RYOaPRFeh0R3UeAr,deja vu,olivia rodrigo,3,51,0.442,0.612,D,-7.222,Major,0.112,0.584,180.917
spotify:track:3rdAz1fbUfZxYgaCviYhRo,todo de ti,rauw alejandro,2,44,0.78,0.719,D#,-3.613,Minor,0.0506,0.302,127.962
spotify:track:4iJyoBOLtHqaGxP12qzhQI,peaches (feat. daniel caesar & giveon),"justin bieber, daniel caesar, giveon",1,53,0.677,0.696,C,-6.181,Major,0.119,0.321,90.03
spotify:track:3Kkjo3cT83cw09VJyrLNwX,oh my god,adele,3,18,0.534,0.725,C#,-3.906,Major,0.046,0.091,88.098
spotify:track:0oA9wBGDY4uyILLg4GymWP,tom's diner,"annenmaykantereit, giant rooks",90,1,0.68,0.428,F#,-8.107,Minor,0.135,0.376,98.222
spotify:track:1Y5Jvi3eLi4Chwqch9GMem,super gremlin,kodak black,45,15,0.825,0.414,D,-6.634,Major,0.144,0.00265,72.993
spotify:track:0pqnGHJpmpxLKifKRmU6WP,believer,imagine dragons,16,268,0.776,0.78,A#,-4.374,Minor,0.128,0.0622,124.949
spotify:track:3yMC1KsTwh0ceXdIe4QQAQ,fingers crossed,lauren spencer smith,17,11,0.56,0.473,F,-7.23,Major,0.0533,0.618,109.414
spotify:track:0RiRZpuVRbi7oqRdSMwhQY,sunflower - spider-man: into the spider-verse,"post malone, swae lee",1,179,0.755,0.522,D,-4.368,Major,0.0575,0.533,89.96
spotify:track:0sTlGEld0h8kIPZaKDYUf4,notion,the rare occasions,67,11,0.309,0.883,A,-3.825,Major,0.0808,0.0673,159.488
spotify:track:37y7iDayfwm3WXn5BiAoRk,dark red,steve lacy,66,33,0.603,0.783,F#,-4.023,Major,0.062,0.449,172.041
spotify:track:2gpWyfu7eZ01zzncHpxOtA,moth to a flame (with the weeknd),"swedish house mafia, the weeknd",7,22,0.542,0.659,G#,-7.289,Major,0.0389,0.00279,120.122
spotify:track:5vUnjhBzRJJIAOJPde6zDx,to the moon,"jnr choi, sam tompkins",55,11,0.745,0.65,D,-11.814,Major,0.346,0.0451,144.047
spotify:track:4srcMdbm2qzVG98tJajHxp,pantysito,"alejo, feid, robi",99,1,0.83,0.739,G,-5.395,Minor,0.0627,0.136,97.993
spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,dynamite,bts,2,83,0.746,0.765,F#,-4.41,Minor,0.0993,0.0112,114.044
spotify:track:503OTo2dSqe7qk76rgsbep,still d.r.e.,"dr. dre, snoop dogg",29,6,0.816,0.775,B,-3.323,Major,0.234,0.16,93.431
spotify:track:1v7L65Lzy0j0vdpRjJewt1,"lose yourself - from ""8 mile"" soundtrack",eminem,44,66,0.686,0.735,D,-4.616,Major,0.264,0.00921,171.355
spotify:track:0u2P5u6lvoDfwTYjAADbn4,lovely (with khalid),"billie eilish, khalid",24,205,0.351,0.296,E,-10.109,Minor,0.0333,0.934,115.284
spotify:track:76YSWx6L6FNsuaP6GWBb8P,all for us,"labrinth, zendaya",43,11,0.46,0.66,D#,-6.642,Major,0.0652,0.0108,141.722
spotify:track:6LtHYDgYHRCHoKK3snfr2w,i’m tired (with zendaya) - bonus track,"labrinth, zendaya",29,4,0.375,0.133,C,-10.624,Minor,0.0352,0.651,131.721
spotify:track:2gpQi3hbcUAcEG8m2dlgfB,plan a,paulo londra,106,1,0.583,0.834,C,-4.875,Major,0.0444,0.0495,173.935
spotify:track:7qEHsqek33rTcFNT9PFqLf,someone you loved,lewis capaldi,4,168,0.501,0.405,C#,-5.679,Major,0.0319,0.751,109.891
spotify:track:7hU3IHwjX150XLoTVmjD0q,money,lisa,5,28,0.831,0.554,C#,-9.998,Minor,0.218,0.161,140.026
spotify:track:0k4d5YPDr1r7FX77VdqWez,you right,"doja cat, the weeknd",15,39,0.828,0.621,G#,-6.414,Major,0.0565,0.0164,128.986
spotify:track:2Gq636OOGgxCTqEuzCZhsa,"tiago pzk: bzrp music sessions, vol. 48","bizarrap, tiago pzk",37,12,0.656,0.823,C#,-3.059,Minor,0.315,0.47,96.474
spotify:track:3AJwUDP919kvQ9QcozQPxg,yellow,coldplay,101,66,0.429,0.661,B,-7.227,Major,0.0281,0.00239,173.372
spotify:track:69vlMrzHwATKzupwNcUPyK,la santa,"bad bunny, daddy yankee",14,23,0.744,0.868,C#,-4.524,Major,0.047,0.0326,93.037
spotify:track:62Yo3FDddWY8ydu6PW2wyz,nail tech,jack harlow,36,5,0.677,0.557,C#,-8.409,Major,0.0694,0.00508,150.127
spotify:track:0NBgyml7T0IvUNbXIkcSpH,malvadão 3,"xamã, gustah, neo beats",33,13,0.821,0.609,F#,-6.541,Minor,0.268,0.378,133.133
spotify:track:68Dni7IE4VyPkTOH9mRWHr,no role modelz,j. cole,113,35,0.69,0.521,A#,-8.492,Minor,0.339,0.324,100.028
spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,revenge,xxxtentacion,63,12,0.746,0.251,B,-16.169,Minor,0.259,0.782,139.999
spotify:track:6EtKlIQmGPB9SX8UjDJG5s,formula,labrinth,68,10,0.574,0.664,B,-6.068,Major,0.0409,0.0448,144.654
spotify:track:0dcnrLo8s1rhjm8euGjI4n,darari,treasure,102,4,0.716,0.638,C,-6.87,Major,0.0392,0.486,84.955
spotify:track:7EkWXAI1wn8Ii883ecd9xr,freaks,surf curse,55,47,0.345,0.941,A,-9.918,Major,0.0466,3.84e-05,179.626
spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,knife talk (with 21 savage ft. project pat),"drake, 21 savage, project pat",10,29,0.849,0.424,F,-9.579,Minor,0.324,0.0635,145.887
spotify:track:78kygHp1dvW1kncYjBgbe1,mujeriego,ryan castro,92,8,0.758,0.621,A,-8.033,Major,0.125,0.0628,79.949
spotify:track:1UdzJEpgJxtuXAlCOvD4S0,fuera del mercado,danny ocean,122,1,0.453,0.673,G#,-5.649,Major,0.144,0.32,92.06
spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentadona (remix) s2,"davi kneip, mc frog, dj gabriel do borel, luísa sonza",123,1,0.925,0.454,D#,-3.533,Minor,0.273,0.252,135.02
spotify:track:0UXlu64mDLvfzR8IXMz06J,ya no somos ni seremos,christian nodal,37,5,0.588,0.452,G,-4.75,Major,0.0268,0.437,139.953
spotify:track:0G2zPzWqVjR68iNPmx2TBe,volando - remix,"mora, bad bunny, sech",19,37,0.659,0.688,F#,-4.649,Major,0.0673,0.207,153.979
spotify:track:2tpWsVSb9UEmDRxAl1zhX1,counting stars,onerepublic,117,54,0.664,0.705,C#,-4.972,Minor,0.0382,0.0654,122.016
spotify:track:3GaGWoU1KfVqgl7vnRHP55,demasiadas mujeres,c. tangana,127,3,0.658,0.453,A,-7.378,Minor,0.39,0.131,126.043
spotify:track:0gucTLf7trAf37Ua1uAyAu,smells like teen spirit,nirvana,109,63,0.489,0.918,C#,-4.502,Major,0.0554,3.53e-05,116.731
spotify:track:2J2Z1SkXYghSajLibnQHOa,unstoppable,sia,112,6,0.468,0.779,A,-4.839,Major,0.0779,0.112,173.799
spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,blank space,taylor swift,130,20,0.76,0.703,F,-5.412,Major,0.054,0.103,95.997
spotify:track:3Oww84xrmgjyr5J1ilOmAf,down under (feat. colin hay),"luude, colin hay",72,10,0.308,0.86,B,-4.111,Minor,0.168,0.0116,171.835
spotify:track:5E30LdtzQTGqRvNd7l6kG5,daddy issues,the neighbourhood,99,76,0.588,0.521,A#,-9.461,Major,0.0329,0.0678,85.012
spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,locked out of heaven,bruno mars,111,12,0.728,0.697,F,-4.125,Major,0.0456,0.0556,143.986
spotify:track:4xkOaSrkexMciUUogZKVTS,'till i collapse,"eminem, nate dogg",81,39,0.548,0.847,C#,-3.237,Major,0.186,0.0622,171.447
spotify:track:1nH2PkJL1XoUq8oE6tBZoU,sacrifice,the weeknd,3,11,0.735,0.795,B,-6.523,Minor,0.113,0.0296,122.0
spotify:track:1XGmzt0PVuFgQYYnV2It7A,payphone,"maroon 5, wiz khalifa",136,14,0.743,0.752,E,-4.813,Major,0.0414,0.0188,110.015
spotify:track:0fea68AdmYNygeTGI4RC18,la canción,"j balvin, bad bunny",17,64,0.754,0.646,G,-5.795,Major,0.317,0.152,176.089
spotify:track:0y60itmpH0aPKsFiGxmtnh,wait a minute!,willow,138,1,0.764,0.705,D#,-5.279,Minor,0.0278,0.0371,101.003
spotify:track:1ojBtNRMzjL7ptLPZCzfRz,thinking with my dick (feat. juicy j),"kevin gates, juicy j",128,2,0.77,0.699,C,-6.59,Major,0.199,0.0596,81.003
spotify:track:7qiZfU4dY1lWllzX7mPBI3,shape of you,ed sheeran,1,269,0.825,0.652,C#,-3.183,Minor,0.0802,0.581,95.977
spotify:track:0ct6r3EGTcMLPtrXHDvVjc,the nights,avicii,44,54,0.527,0.835,F#,-5.298,Major,0.0433,0.0166,125.983
spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,gangsta's paradise,"coolio, l.v.",116,22,0.647,0.514,G#,-10.05,Major,0.0593,0.0655,79.975
spotify:track:6K5ph5mq1qprHae3TrgTj5,"surface pressure - from ""encanto""/soundtrack version",jessica darrow,23,12,0.652,0.583,D,-8.302,Major,0.322,0.0165,180.042
spotify:track:7yq4Qj7cqayVTp3FF9CWbm,riptide,vance joy,122,64,0.484,0.731,C#,-6.694,Major,0.0379,0.431,101.654
spotify:track:0W6I02J9xcqK8MtSeosEXb,get into it (yuh),doja cat,36,34,0.912,0.655,G#,-6.029,Minor,0.162,0.315,91.942
spotify:track:6f5ExP43esnvdKPddwKXJH,better days (neiked x mae muller x polo g),"neiked, mae muller, polo g",32,23,0.717,0.671,C,-5.077,Minor,0.0337,0.0018,110.054
spotify:track:4u7EnebtmKWzUH433cf5Qv,bohemian rhapsody - remastered 2011,queen,11,182,0.414,0.404,C,-9.928,Minor,0.0499,0.271,71.105
spotify:track:48QmG1dfvMuYLxMPt7KSRA,no lie,"sean paul, dua lipa",80,34,0.742,0.882,G,-2.862,Major,0.117,0.0466,102.04
spotify:track:7gVzhRCrLRUBEGdS7zNTp0,malvada,zé felipe,58,7,0.894,0.859,F,-2.981,Minor,0.0471,0.159,134.947
spotify:track:0bI7K9Becu2dtXK1Q3cZNB,don't be shy,"tiësto, karol g",38,32,0.77,0.787,B,-3.748,Minor,0.0583,0.198,119.986
spotify:track:0tgVpDi06FyKpA1z0VMD4v,perfect,ed sheeran,4,262,0.599,0.448,G#,-6.312,Major,0.0232,0.163,95.05
spotify:track:6hH6QJ9ZAO0Z6m7PfvLoXW,chicken teriyaki,rosalía,152,1,0.788,0.4,D,-6.454,Major,0.115,0.454,97.936
spotify:track:1zi7xx7UVEFkmKfv06H8x0,one dance,"drake, wizkid, kyla",12,120,0.792,0.625,C#,-5.609,Major,0.0536,0.00776,103.967
spotify:track:2BEcap3xJtmiPaHKyfQi4e,nostálgico,"rvssian, rauw alejandro, chris brown",40,28,0.734,0.846,A,-3.425,Minor,0.0489,0.166,98.026
spotify:track:4jPy3l0RUwlUI9T5XHBW2m,mood (feat. iann dior),"24kgoldn, iann dior",1,85,0.701,0.716,G,-3.671,Minor,0.0361,0.174,91.007
spotify:track:003vvx7Niy0yvhvHt4a68B,mr. brightside,the killers,98,87,0.352,0.911,C#,-5.23,Major,0.0747,0.00121,148.033
spotify:track:4bV5sf2B4hWBBd5HQ8S7KB,nobody like u,"4*town (from disney and pixar’s turning red), jordan fisher, finneas o'connell, topher ngo, grayson villanueva, josh levi",157,1,0.905,0.631,A,-10.06,Minor,0.177,0.129,105.026
spotify:track:5enxwA8aAbwZbf5qCHORXi,all too well (10 minute version) (taylor's version) (from the vault),taylor swift,1,19,0.631,0.518,C,-8.771,Major,0.0303,0.274,93.023
spotify:track:21jGcNKet2qwijlDFuPiPb,circles,post malone,1,134,0.695,0.762,C,-3.497,Major,0.0395,0.192,120.042
spotify:track:5kqNIqFjijuzvVLhuY9B8j,la zona,bad bunny,60,7,0.762,0.801,C#,-3.661,Minor,0.0409,0.2,93.992
spotify:track:3dYD57lRAUcMHufyqn9GcI,take me to church,hozier,108,75,0.566,0.664,E,-5.303,Minor,0.0464,0.634,128.945
spotify:track:4xqrdfXkTW4T0RauPLv3WA,heather,conan gray,12,87,0.357,0.425,F,-7.301,Major,0.0333,0.584,102.078
spotify:track:7iL6o9tox1zgHpKUfh9vuC,in da club,50 cent,77,6,0.899,0.713,F#,-2.752,Minor,0.366,0.255,90.051
spotify:track:5719MEdRQcH4c3phXqX7WN,mal feito - ao vivo,"hugo & guilherme, marília mendonça",72,10,0.732,0.831,C,-3.791,Minor,0.0691,0.554,123.942
spotify:track:4UPQiDmYScn2C6S2C2WATY,just a cloud away,pharrell williams,165,1,0.888,0.459,D,-8.154,Major,0.0357,0.426,112.56
spotify:track:4UG2Fm0E98LhE2dlNxiAXx,this is what falling in love feels like,jvke,142,3,0.424,0.438,B,-5.53,Major,0.0553,0.617,128.983
spotify:track:2N8m6CYs74qQO4mjVcXO30,dance monkey,tones and i,1,140,0.824,0.587,F#,-6.401,Minor,0.0937,0.69,98.029
spotify:track:2tGvwE8GcFKwNdAXMnlbfl,happier,olivia rodrigo,12,44,0.395,0.443,F#,-9.72,Major,0.133,0.765,168.924
spotify:track:2ZRo7axmMPeSVUvDbGkJah,hope,xxxtentacion,42,35,0.592,0.457,A,-6.081,Minor,0.0603,0.661,146.04
spotify:track:5W1qmxHrMlQGGAiFA3ZQqP,se le ve,"dímelo flow, dalex, sech, justin quiles, arcangel, de la ghetto, lenny tavárez",110,12,0.562,0.755,G,-4.367,Minor,0.112,0.0967,83.997
spotify:track:07MDkzWARZaLEdKxo6yArG,meet me at our spot,"the anxiety, willow, tyler cole",24,29,0.773,0.47,D,-7.93,Major,0.0299,0.0153,94.995
spotify:track:0nrRP2bk19rLc0orkWPQk2,wake me up,avicii,13,68,0.532,0.783,D,-5.697,Major,0.0523,0.0038,124.08
